Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
5119,NEHr,New Eltham,544038.8913,173035.8828,51.438015,0.070948484
5567,NEMr,New Malden,521422.8352,168657.9075,51.403962,-0.25575693
6019,NSGr,New Southgate,528670.518,192207.7418,51.614004,-0.14302787
650,NEPu,Newbury Park,544924.3102,188361.7683,51.575501,0.089964896
5568,NBTr,Norbiton,519430.0885,169539.0142,51.412303,-0.2840989
5428,NRBr,Norbury,530718.8556,169711.9475,51.41137,-0.12179973
653,NACu,North Acton,520854.978,181943.8439,51.52349,-0.25938136
5429,NDLr,North Dulwich,532922.3575,174532.519,51.454183,-0.088334188
654,NELu,North Ealing,518833.0827,181228.5641,51.517492,-0.28875337
789,NOGu,North Greenwich,539217.9592,179863.8483,51.500575,0.004320721
656,NHRu,North Harrow,513501.0421,188636.2175,51.58516,-0.3631769
5601,NSHr,North Sheen,519119.4187,175431.1957,51.465323,-0.28658822
659,NWBu,North Wembley,517668.4179,186198.7811,51.562404,-0.30387578
655,NFDu,Northfields,517197.8867,179207.426,51.499661,-0.31297754
657,NHTu,Northolt,513152.2214,184544.6685,51.548461,-0.36952781
1478,NLTr,Northolt Park,513840.249,185568.3843,51.557517,-0.35927914
6971,NUMr,Northumberland Park,534874.1957,191027.1431,51.601941,-0.053947505
660,NWPu,Northwick Park,516668.6645,187965.8855,51.578492,-0.31769485
661,NWDu,Northwood,509246.0377,191394.8838,51.610798,-0.42370773
662,NWHu,Northwood Hills,510327.7019,190234.158,51.600152,-0.40845327
5376,NWDr,Norwood Junction,534035.9195,168217.8735,51.397171,-0.074697622
663,NHGu,Notting Hill Gate,525278.0656,180430.5044,51.50893,-0.1961986
5068,NHDr,Nunhead,535382.8323,176005.7525,51.466837,-0.052373019
6020,OKLr,Oakleigh Park,526994.6608,194808.2415,51.637749,-0.16627872
664,OAKu,Oakwood,529391.2948,195934.857,51.647332,-0.13125903
7451,OCKr,Ockendon,558986.1879,182790.9856,51.521663,0.29020757
665,OLDu,Old Street,532764.8016,182479.2573,51.525626,-0.087606665
5122,ORPr,Orpington,545478.2002,165908.6705,51.373607,0.088716735
667,OSTu,Osterley,514521.8712,177095.7701,51.481236,-0.3521962
668,OVLu,Oval,531171.0704,177564.5254,51.481838,-0.11239616
669,OXCu,Oxford Circus,529089.9319,181221.9768,51.515181,-0.14101084
3087,PADr,Paddington NR,526553.2067,181390.7772,51.517273,-0.17749212
670,PADu,Paddington TfL,526740.422,181235.9995,51.515838,-0.1748542
6021,PALr,Palmers Green,530910.515,192751.3128,51.618367,-0.11049214
671,PRYu,Park Royal,519143.9984,182231.1934,51.526432,-0.28393487
672,PGRu,Parsons Green,525025.9248,176681.2501,51.475284,-0.20115493
5423,PMRr,Peckham Rye,534159.068,176305.8759,51.469824,-0.069869557
5072,PNEr,Penge East,535400.8984,170718.2504,51.419313,-0.054135061
5378,PNWr,Penge West,534949.7914,170505.9447,51.417515,-0.060697707
673,PERu,Perivale,516437.014,183287.8796,51.536496,-0.32258889
5123,PETr,Petts Wood,544445.5746,167551.1482,51.388625,0.074567423
9485,PHLt,Phipps Bridge,526546.9581,168709.6165,51.403311,-0.18211249
674,PICu,Piccadilly Circus,529553.583,180637.1592,51.509818,-0.13454248
776,PIMu,Pimlico,529681.3772,178344.7338,51.489191,-0.13355516
675,PINu,Pinner,512273.0481,189443.0243,51.592659,-0.38063573
676,PLWu,Plaistow,539982.2997,183288.0026,51.531154,0.016678955
5208,PLUr,Plumstead,544783.4978,178816.7206,51.489771,0.084010523
6819,PONr,Ponders End,536078.9952,195622.7145,51.642951,-0.034775747
538,PDKd,Pontoon Dock,541218.7793,180105.5625,51.502254,0.033226526
858,POPd,Poplar,537707.6405,180614.6391,51.507693,-0.017126809
6022,PBRr,Potters Bar,525027.7312,201381.3058,51.697259,-0.19233735
677,PRDu,Preston Road,518201.6178,187309.5478,51.572277,-0.29580246
888,PRRd,Prince Regent,541191.5164,180909.1529,51.509476,0.033158977
859,PMLd,Pudding Mill Lane,537871.1567,183522.4128,51.533776,-0.013643246
7453,PFLr,Purfleet,555417.8781,178161.4822,51.481056,0.23678352
5379,PURr,Purley,531477.754,161510.1722,51.337485,-0.11392436
5430,PUOr,Purley Oaks,532510.1463,162599.249,51.347033,-0.098713018
5603,PUTr,Putney,523987.4791,175082.9334,51.461151,-0.21666759
678,PUTu,Putney Bridge,524513.4862,175891.4295,51.468297,-0.20881577
680,QPKu,Queen's Park,524564.8105,183188.9572,51.533873,-0.20549308
5424,QRPr,Queens Road Peckham,535017.6531,176757.0859,51.473673,-0.057337768
679,QBYu,Queensbury,518811.6264,189762.4715,51.594186,-0.28617579
5596,QRBr,Queenstown Road (Battersea),528836.011,176768.4675,51.475212,-0.14629385
681,QWYu,Queensway,525895.2785,180620.1398,51.510491,-0.18724529
1546,RDTr,Radlett,516441.5596,199856.1021,51.685399,-0.31701889
7454,RNMr,Rainham (Essex),552094.2025,182029.8397,51.516722,0.19061903
5083,RVBr,Ravensbourne,538649.562,170248.9333,51.414314,-0.007623206
682,RCPu,Ravenscourt Park,522570.052,178718.1547,51.494128,-0.23579403
683,RAYu,Rayners Lane,512951.3931,187516.7747,51.575213,-0.37147142
5569,RAYr,Raynes Park,523163.4868,169256.4666,51.408962,-0.23054718
3149,RDGr,Reading,471495.3701,173858.4423,51.459193,-0.97232904
